beta,bwVar,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarpaired,n_mcmc,pstar,result_file,sim,ul,wiVar,wiVarpaired
1.0,0.03769416820558329,1,datasets_sb01.npz,1.0808623523403067,1.0753955638704582,1.080862352340302,0.4731975481668863,unconstrained_1to1,0.09612050037253264,0.0962285798612795,1000,0.5,results\unconstrained_1to1_beta1_1.csv,69,1.688527156513727,0.058388637998743775,0.05849671748749064
1.0,0.03882817201997122,1,datasets_sb01.npz,1.1305495581025444,1.122535891382617,1.1305495581025478,0.46989444046939743,unconstrained_1to1,0.11361546867317456,0.1141236193236256,1000,0.5,results\unconstrained_1to1_beta1_1.csv,70,1.7912046757356914,0.07474846848118337,0.07525661913163441
1.0,0.029579656828678243,1,datasets_sb01.npz,0.7938049115447845,0.7951374430338856,0.7938049115447876,0.1878514271937597,unconstrained_1to1,0.0955798691162921,0.09405782139037246,1000,0.5,results\unconstrained_1to1_beta1_1.csv,71,1.3997583958958093,0.06597063263078518,0.06444858490486553
1.0,0.03773960401489744,1,datasets_sb01.npz,1.1200777310811987,1.121399671476635,1.1200777310812007,0.482409201800547,unconstrained_1to1,0.10584682247890184,0.10516588540442695,1000,0.5,results\unconstrained_1to1_beta1_1.csv,72,1.7577462603618503,0.06806947885998951,0.06738854178551461
1.0,0.025115216725627318,1,datasets_sb01.npz,0.665056568874303,0.6685023203559195,0.6650565688743031,0.10014940336971467,unconstrained_1to1,0.08306958185090284,0.08225679102532457,1000,0.5,results\unconstrained_1to1_beta1_1.csv,73,1.2299637343788912,0.0579292499085499,0.057116459082971624
1.0,0.030128504348185176,1,datasets_sb01.npz,1.1140963990642245,1.1091268035768493,1.114096399064229,0.5000639718267206,unconstrained_1to1,0.09814551793502203,0.09868967621250939,1000,0.5,results\unconstrained_1to1_beta1_1.csv,74,1.7281288263017285,0.06798688508248868,0.06853104335997603
1.0,0.038852004801617074,1,datasets_sb01.npz,0.8766893391419298,0.8709468836096966,0.8766893391419274,0.1836218385122277,unconstrained_1to1,0.12503710964939146,0.12312444332210958,1000,0.5,results\unconstrained_1to1_beta1_1.csv,75,1.569756839771632,0.08614625284297278,0.08423358651569089
1.0,0.03484983081065627,1,datasets_sb01.npz,1.0455678128692927,1.0531144588942845,1.0455678128692927,0.39648039659516543,unconstrained_1to1,0.10967161442248598,0.10853264125771153,1000,0.5,results\unconstrained_1to1_beta1_1.csv,76,1.6946552291434198,0.07478693378101905,0.07364796061624461
1.0,0.04662343182199407,1,datasets_sb01.npz,0.9493742447492325,0.9444740873893127,0.9493742447492279,0.25996041816659277,unconstrained_1to1,0.123722257466503,0.12376406388912406,1000,0.5,results\unconstrained_1to1_beta1_1.csv,77,1.6387880713318723,0.07705220221268695,0.077094008635308
1.0,0.026898659921909127,1,datasets_sb01.npz,0.6743754251420103,0.6755155413046581,0.6743754251420084,0.10321910089850483,unconstrained_1to1,0.0849176246156165,0.08434226312843827,1000,0.5,results\unconstrained_1to1_beta1_1.csv,78,1.2455317493855158,0.05799206603378547,0.05741670454660724
1.0,0.033355346885555345,1,datasets_sb01.npz,1.5483011600888499,1.543991137935643,1.5483011600888423,0.944819684890767,unconstrained_1to1,0.0948016167501183,0.09442721016012354,1000,0.5,results\unconstrained_1to1_beta1_1.csv,79,2.1517826352869327,0.06141291451767741,0.06103850792768263
1.0,0.03932066139603853,1,datasets_sb01.npz,1.2152717928123447,1.217252246323727,1.2152717928123467,0.5099120641104654,unconstrained_1to1,0.12951175210182964,0.1280580011334211,1000,0.5,results\unconstrained_1to1_beta1_1.csv,80,1.920631521514224,0.09015177004439508,0.08869801907598655
1.0,0.04392125950851039,1,datasets_sb01.npz,1.320201714963061,1.3164630396135122,1.3202017149630623,0.6059444197588012,unconstrained_1to1,0.13279974066860292,0.13243113113700367,1000,0.5,results\unconstrained_1to1_beta1_1.csv,81,2.034459010167321,0.08883455990058403,0.08846595036898476
1.0,0.035996459578026295,1,datasets_sb01.npz,0.9748183894676401,0.9777831060338061,0.9748183894676454,0.34084410184183156,unconstrained_1to1,0.10462395808273933,0.10381149158531275,1000,0.5,results\unconstrained_1to1_beta1_1.csv,82,1.6087926770934486,0.068591502045135,0.06777903554770842
1.0,0.03036004115436009,1,datasets_sb01.npz,1.1786249061654617,1.1724746764148584,1.178624906165463,0.565898203514426,unconstrained_1to1,0.09772855376447592,0.09781694775671008,1000,0.5,results\unconstrained_1to1_beta1_1.csv,83,1.7913516088164974,0.06733815256896147,0.06742654656119564
1.0,0.037372724315215974,1,datasets_sb01.npz,0.9382130370394777,0.9410126292253143,0.9382130370394766,0.25712373407833955,unconstrained_1to1,0.12075245694712855,0.1182342143433704,1000,0.5,results\unconstrained_1to1_beta1_1.csv,84,1.619302340000616,0.08334235990759736,0.08082411730383922
