sim,tau_hat,running_mean_tau,running_bias,running_abs_bias,accepted_iteration_rate,accepted_row_update_rate,n_mcmc,k,beta,dataset_file
162,0.9153342929338855,1.0370425907768734,0.03704259077687344,0.03704259077687344,1.0,0.8499333333333333,500,2,1.0,datasets_sb01_10000.npz
163,1.0705759470238436,1.037248316888818,0.03724831688881802,0.03724831688881802,1.0,0.8476,500,2,1.0,datasets_sb01_10000.npz
164,0.8237798819967316,1.0359466800906956,0.03594668009069557,0.03594668009069557,1.0,0.8587333333333333,500,2,1.0,datasets_sb01_10000.npz
165,1.216783810947264,1.0370426627019476,0.03704266270194756,0.03704266270194756,1.0,0.8541333333333333,500,2,1.0,datasets_sb01_10000.npz
166,0.9225389549948533,1.036352881330218,0.03635288133021808,0.03635288133021808,1.0,0.8568666666666667,500,2,1.0,datasets_sb01_10000.npz
167,0.8999858585762041,1.035536312331691,0.03553631233169097,0.03553631233169097,1.0,0.8428,500,2,1.0,datasets_sb01_10000.npz
168,0.7976625197010415,1.0341203968993657,0.034120396899365746,0.034120396899365746,1.0,0.8654,500,2,1.0,datasets_sb01_10000.npz
169,1.442387538620831,1.0365361788030432,0.03653617880304316,0.03653617880304316,1.0,0.852,500,2,1.0,datasets_sb01_10000.npz
170,0.949962216253948,1.0360269201998131,0.03602692019981313,0.03602692019981313,1.0,0.8501333333333333,500,2,1.0,datasets_sb01_10000.npz
171,0.7789135844119897,1.03452333344082,0.034523333440819925,0.034523333440819925,1.0,0.8402666666666667,500,2,1.0,datasets_sb01_10000.npz
172,1.1494568676101917,1.0351915516627348,0.0351915516627348,0.0351915516627348,1.0,0.8450666666666666,500,2,1.0,datasets_sb01_10000.npz
173,1.4316181287223788,1.037483034767126,0.037483034767126,0.037483034767126,1.0,0.8558666666666667,500,2,1.0,datasets_sb01_10000.npz
174,1.1167703829233575,1.0379387091818169,0.037938709181816854,0.037938709181816854,1.0,0.8554,500,2,1.0,datasets_sb01_10000.npz
175,0.7585539743686384,1.0363422249828846,0.03634222498288464,0.03634222498288464,1.0,0.8525333333333334,500,2,1.0,datasets_sb01_10000.npz
176,1.3317059752760256,1.0380204281095502,0.0380204281095502,0.0380204281095502,1.0,0.8599333333333333,500,2,1.0,datasets_sb01_10000.npz
177,1.152995478596723,1.038670004665975,0.03867000466597492,0.03867000466597492,1.0,0.8501333333333333,500,2,1.0,datasets_sb01_10000.npz
178,1.0247937853156013,1.0385920483774898,0.03859204837748975,0.03859204837748975,1.0,0.8518666666666667,500,2,1.0,datasets_sb01_10000.npz
179,1.4498430565565474,1.0408895400432945,0.04088954004329448,0.04088954004329448,1.0,0.8438666666666667,500,2,1.0,datasets_sb01_10000.npz
180,1.375276538153996,1.042747245588354,0.042747245588353966,0.042747245588353966,1.0,0.8508,500,2,1.0,datasets_sb01_10000.npz
181,1.1053532762092786,1.0430931352602928,0.04309313526029279,0.04309313526029279,1.0,0.8357333333333333,500,2,1.0,datasets_sb01_10000.npz
182,0.8457417648545661,1.0420087870712504,0.04200878707125044,0.04200878707125044,1.0,0.8588666666666667,500,2,1.0,datasets_sb01_10000.npz
183,1.2087751472634063,1.0429200786569999,0.04292007865699987,0.04292007865699987,1.0,0.8516666666666667,500,2,1.0,datasets_sb01_10000.npz
