beta,bwVar,change_count,changed_iteration_count,covers_true,dataset_file,est,est_med,estdiff,ll,method,miVar,miVarclus,miVarpaired,n_mcmc,n_sampling_draws,pstar,result_file,share_estimation_in_method,share_mcmc_in_method,share_method_in_sim,share_sampling_in_mcmc,share_sampling_in_method,sim,time_allocation,time_mcmc_estimation,time_mcmc_sampling,time_mcmc_total,time_method_call,time_method_total,time_per_sampling_draw,time_setup,time_sim_post,time_sim_prep,time_sim_total,time_summary,ul,wiVar,wiVarclus,wiVarpaired
1.0,0.017204949143115707,28820,1000,1,datasets_sb01.npz,1.4723924974470142,1.4708743535423572,1.4723924974470137,0.8474671247265716,constrained_1to1_gibbs,0.10165861137801543,0.2920249960416524,0.09622791304540113,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6517374350459574,0.9993339629759658,0.9998618350687047,0.3478281943854721,0.3475965279300084,21,1.309998333454132e-05,0.27075929910643026,0.14440630108583719,0.41516560019226745,0.41611200000625104,0.4154423001455143,4.813543369527906e-06,0.0002258999738842249,7.800001185387373e-06,4.930002614855766e-05,0.4161695000366308,3.7699996028095484e-05,2.0973178701674566,0.0844364572857566,0.2748028419493936,0.07900575895314231
1.0,0.01600924018011732,28656,1000,1,datasets_sb01.npz,1.2778390050525827,1.2804010139573994,1.2778390050525827,0.694334503224529,constrained_1to1_gibbs,0.08862908778988053,0.27787504817354536,0.08760881700032364,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.661567353898145,0.9993798037311766,0.9998631866313349,0.33802208987195,0.33781244983303155,22,1.3299984857439995e-05,0.28673070116201416,0.14641169947572052,0.4331424006377347,0.43410859996220097,0.43341120064724237,4.880389982524017e-06,0.00021959998412057757,8.000002708286047e-06,5.0600036047399044e-05,0.4341679999488406,3.590004052966833e-05,1.8613435068806363,0.07260383836958309,0.26184979875324793,0.0715835675800262
1.0,0.017294583626317535,28664,1000,1,datasets_sb01.npz,0.8251907984383506,0.8279459423008038,0.8251907984383481,0.21068586425528169,constrained_1to1_gibbs,0.09829662487904464,0.2915450736995511,0.0958921805420691,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6526957228894532,0.9994180579334462,0.9998557979523972,0.34692422484433644,0.3467223350439929,23,1.1999974958598614e-05,0.27108639979269356,0.14400540135102347,0.415091801143717,0.4160231999703683,0.4153335011797026,4.800180045034116e-06,0.00018900004215538502,8.400005754083395e-06,5.110003985464573e-05,0.41608320001978427,4.0700018871575594e-05,1.4396957326214195,0.0809847466691008,0.2742331954896073,0.07858030233212526
1.0,0.01622621991287743,28618,1000,1,datasets_sb01.npz,0.8063952767678781,0.8095743486399682,0.8063952767678758,0.26564894152988316,constrained_1to1_gibbs,0.07611583690996511,0.25056208748200626,0.073609994860081,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6520921178804951,0.9993514034140589,0.9998449253877721,0.3474846628995874,0.34725928553356383,24,1.2400036212056875e-05,0.27577829943038523,0.14686050114687532,0.42263880057726055,0.42360080004436895,0.4229131005704403,4.8953500382291775e-06,0.0002190999803133309,8.400005754083395e-06,5.689996760338545e-05,0.42366649996256456,4.279997665435076e-05,1.3471416120058732,0.0598733907771748,0.23431964134921596,0.0573675487272907
1.0,0.02017249070722227,28688,1000,1,datasets_sb01.npz,1.2855461129617205,1.2779407096636386,1.2855461129617212,0.6546068883801912,constrained_1to1_gibbs,0.10362461086931002,0.301455419322458,0.10293838519648794,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6506852684706356,0.9993685535523623,0.9998478167347328,0.34890359901989587,0.34868328508172675,25,1.2400036212056875e-05,0.27740190038457513,0.14865159947657958,0.4260534998611547,0.42705180001212284,0.4263226998155005,4.955053315885986e-06,0.00020859995856881142,8.200004231184721e-06,5.630002124235034e-05,0.4271168000414036,4.819995956495404e-05,1.9164853375432498,0.08343194767138053,0.2812627561245285,0.08274572199855845
1.0,0.018976365823912187,28743,1000,1,datasets_sb01.npz,0.9370806878622134,0.9319226196050964,0.9370806878622097,0.33622832692161564,constrained_1to1_gibbs,0.0939773947438282,0.28452511851032086,0.09285194669687166,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6493765016460502,0.9993682421342903,0.9998428206054155,0.35021299029953556,0.3499917404882401,26,1.3199984095990658e-05,0.2701290010008961,0.1455902992747724,0.4157193002756685,0.4166560000157915,0.4159821002394892,4.853009975825747e-06,0.00021309999283403158,7.499998901039362e-06,5.740002961829305e-05,0.41672150004887953,3.649998689070344e-05,1.5379330488028113,0.0749820525540921,0.2655297763205848,0.07385660450713556
1.0,0.019798328078946496,28714,1000,1,datasets_sb01.npz,0.9648816169827426,0.9659171836809881,0.9648816169827367,0.3452141624270113,constrained_1to1_gibbs,0.09995516301425947,0.29353667521183,0.09817120870658441,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6566013981542501,0.9994116893106401,0.9998685051131505,0.34301208883483114,0.34281029115638995,27,1.2599979527294636e-05,0.28013590030604973,0.14625839941436425,0.426394299720414,0.4273370000300929,0.426645299710799,4.875279980478809e-06,0.0001914000022225082,8.200004231184721e-06,4.75000124424696e-05,0.4273932000505738,4.700000863522291e-05,1.5845490715384738,0.08013703660723402,0.27371854880480456,0.07835308229955897
1.0,0.019851138620875095,28714,1000,1,datasets_sb01.npz,0.9689955635999506,0.9711097460601181,0.9689955635999482,0.42813730423477436,constrained_1to1_gibbs,0.07614734920958152,0.24937456129211502,0.07518643508177603,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6583150084776365,0.9993428084408623,0.9998361779434657,0.34125206794181545,0.3410277999632258,28,1.3499986380338669e-05,0.2747689008247107,0.14233889937167987,0.4171078001963906,0.4180680999998003,0.41738210018957034,4.7446299790559955e-06,0.0002164000179618597,9.000010322779417e-06,5.89000410400331e-05,0.41813659999752417,4.439998883754015e-05,1.5098538229651268,0.05627635945008556,0.22950357153261905,0.055315445322280055
1.0,0.018912906741056116,28670,1000,1,datasets_sb01.npz,0.7703705858604284,0.7653565387263768,0.7703705858604288,0.14813960456117958,constrained_1to1_gibbs,0.10078389058950074,0.2957138186174367,0.09883348401957175,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6503137700451694,0.9993197715034472,0.9998353492491084,0.3492435668847105,0.34900600145827776,29,1.2899981811642647e-05,0.2680687003885396,0.14386529941111803,0.4119339997996576,0.41292769997380674,0.4122143997810781,4.795509980370601e-06,0.00022620003437623382,8.400005754083395e-06,5.920004332438111e-05,0.412995700025931,4.12999652326107e-05,1.3926015671596772,0.08185207094170358,0.2767819989696395,0.07990166437177458
1.0,0.019447521831554897,28592,1000,1,datasets_sb01.npz,0.9857287620434729,0.9815699733061204,0.9857287620434739,0.39340105689887783,constrained_1to1_gibbs,0.09132968301797752,0.27391220314845566,0.08725806452090541,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6525792858195146,0.999336262071523,0.9998293334953894,0.3469872848736783,0.34675697625200835,30,1.2899981811642647e-05,0.277455699571874,0.14742990088416263,0.4248856004560366,0.42590410000411794,0.4251678004511632,4.914330029472088e-06,0.0002308000111952424,7.599999662488699e-06,6.419996498152614e-05,0.425976799975615,3.850000211969018e-05,1.578056467188068,0.07186271366459107,0.2544452337950692,0.06779109516751897
1.0,0.028926095362579504,28732,1000,1,datasets_sb01.npz,0.4776923708214996,0.4757366123694404,0.477692370821498,-0.2271551570115814,constrained_1to1_gibbs,0.1293237290432127,0.34058641676615425,0.1304833894225714,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6510205094933184,0.9993603066917591,0.9998599208687479,0.3485627704702125,0.3483397971984408,31,1.2100033927708864e-05,0.27325440058484674,0.1462094989256002,0.41946389951044694,0.4204176000203006,0.4197323995176703,4.873649964186673e-06,0.00021269998978823423,7.90000194683671e-06,5.059997783973813e-05,0.42047650000313297,4.369998350739479e-05,1.1825398986545808,0.10036870758527064,0.31163139530821216,0.10152836796462932
1.0,0.016712878774384713,28597,1000,1,datasets_sb01.npz,1.1119890718729006,1.106320623409284,1.1119890718729015,0.5407130062830235,constrained_1to1_gibbs,0.08495323383898624,0.2725825455719042,0.08516676916354927,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6525213269825594,0.9993313352546301,0.9998553468039729,0.3470420630648027,0.3468100082720708,32,1.3999990187585354e-05,0.2764603001996875,0.14693649852415547,0.42339679872384295,0.42440209997585043,0.4236800986691378,4.897883284138515e-06,0.0002261999761685729,8.800008799880743e-06,5.199998850002885e-05,0.42446349997771904,4.309997893869877e-05,1.6832651374627776,0.06822364218582715,0.25585295391874513,0.06843717751039018
1.0,0.017064451964185327,28655,1000,1,datasets_sb01.npz,0.77141083247858,0.7693635525102605,0.7714108324785798,0.22121767701885098,constrained_1to1_gibbs,0.07879854964460992,0.26011310761799733,0.07889899274449425,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6584200404097207,0.9993554484238693,0.9998420493243716,0.34115530020059825,0.3409354080141486,33,1.3499986380338669e-05,0.28878270043060184,0.1495340994442813,0.43831679987488315,0.4393083000322804,0.43859949987381697,4.984469981476043e-06,0.000229199999012053,8.400005754083395e-06,6.0399994254112244e-05,0.4393777000368573,4.0000013541430235e-05,1.321603987938309,0.06171703322846041,0.2430315912018478,0.06181747632834473
1.0,0.01783725625974992,28762,1000,1,datasets_sb01.npz,0.8046953250295853,0.801629457064059,0.8046953250295851,0.19256008207976116,constrained_1to1_gibbs,0.0975399717985319,0.2882452558268038,0.0942417897204089,1000,30000,0.5,results\constrained_1to1_gibbs_beta1_profile_1.csv,0.6527892597796596,0.9993811238957332,0.9998432770689749,0.3468064943682426,0.3465918641160736,34,1.2399978004395962e-05,0.2789941005175933,0.14812909974716604,0.42712320026475936,0.42807729996275157,0.4273877002997324,4.937636658238868e-06,0.00021270004799589515,8.90000956133008e-06,5.770003190264106e-05,0.4281444000080228,3.940000897273421e-05,1.4168305679794093,0.07968487828252223,0.27039016231079416,0.07638669620439924
